Country (or dependency),Population (2020),Population (2019),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Net population change,Population change [%],Density (2020)
Puerto Rico,2846860,2774305,8870,-97986.0,,44.0,72555,0.02615249585031206,Low
Lithuania,2715340,2678002,62674,-32780.0,,45.0,37338,0.01394248398619568,Low
Bulgaria,6939018,6887344,108560,-4800.0,,45.0,51674,0.007502747067664981,Low
Bosnia and Herzegovina,3277152,3256971,51000,-21585.0,,43.0,20181,0.006196247986242432,Low
Ukraine,43686577,43426701,579320,10000.0,,41.0,259876,0.005984244578007434,Low
Saint Pierre & Miquelon,5789,5761,230,,,,28,0.004860267314702308,Low
Serbia,8731081,8696217,87460,4000.0,,42.0,34864,0.0040090995889362005,Low
Japan,126407422,126023582,364555,71560.0,,48.0,383840,0.003045779162188867,Low
Venezuela,28421581,28341692,882050,-653249.0,,30.0,79889,0.002818780191387303,Low
Moldova,4032294,4022994,32850,-1387.0,,38.0,9300,0.002311711128577373,Low
Georgia,3987805,3980207,69490,-10000.0,,38.0,7598,0.0019089459417562956,Low
Italy,60446035,60357786,294140,148943.0,,47.0,88249,0.0014620980299045428,Low
Albania,2877239,2874119,27400,-14000.0,,36.0,3120,0.001085550041595355,Low
Cuba,11325391,11318524,106440,-14400.0,,42.0,6867,0.0006067045491090535,Low
Gibraltar,33689,33679,10,,,,10,0.00029692092995635264,High
Montenegro,628080,628159,13450,-480.0,,39.0,-79,-0.00012576433673639953,Low
Guadeloupe,400136,400204,1690,-1440.0,,44.0,-68,-0.00016991334419446083,Low
Russia,145945524,146007730,16376870,182456.0,,40.0,-62206,-0.00042604593606105647,Low
Montserrat,4993,4996,100,,,,-3,-0.0006004803843074459,Low
South Korea,51276977,51320854,97230,11731.0,,44.0,-43877,-0.0008549545960400425,High
Barbados,287437,287787,430,-79.0,,40.0,-350,-0.0012161772421964857,High
Andorra,77287,77410,470,,,,-123,-0.0015889419971579898,Low
Greenland,56787,56885,410450,,,,-98,-0.00172277401775512,Low
Czech Republic (Czechia),10712481,10732253,77240,22011.0,,43.0,-19772,-0.0018422972324636775,Low
San Marino,33944,34015,60,,,,-71,-0.0020873144201087757,High
France,65298930,65442713,547557,36527.0,,42.0,-143783,-0.0021970818966505867,Low
Holy See,801,803,0,,,,-2,-0.0024906600249066002,High
Malta,441750,442921,320,900.0,,43.0,-1171,-0.0026438123277062954,High
Saint Helena,6080,6098,390,,,,-18,-0.0029517874713020664,Low
St. Vincent & Grenadines,111002,111353,390,-200.0,,33.0,-351,-0.0031521377960180685,Low
Trinidad and Tobago,1400283,1404798,5130,-800.0,,36.0,-4515,-0.0032139852135324794,Low
Denmark,5795780,5816106,42430,15200.0,,42.0,-20326,-0.0034947781213065924,Low
China,1440297825,1445837915,9388211,-348399.0,,38.0,-5540090,-0.003831750393680885,Low
Sri Lanka,21428970,21518486,62710,-97986.0,,34.0,-89516,-0.004159958093706035,Low
Belgium,11598451,11648746,30280,48000.0,,42.0,-50295,-0.004317632129673014,Low
North Korea,25798588,25911243,120410,-5403.0,,35.0,-112655,-0.004347726583398565,Low
Grenada,112614,113134,340,-200.0,,32.0,-520,-0.004596319408842611,Low
